ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
2490,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Phu Tho Province – CPA 003,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,"46,339",Asia,2022-11-22,2019-06-27,2029-06-26,71.05000000000001
2491,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Phu Tho Province – CPA 004,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,"45,952",Asia,2023-01-17,2019-06-28,2029-06-27,71.05000000000001
2492,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thai Nguyen Province – CPA 005,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,"45,650",Asia,2023-01-09,2019-06-21,2029-06-20,71.05000000000001
2493,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thai Nguyen Province – CPA 006,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,"44,314",Asia,2023-01-09,2019-06-28,2029-06-27,71.05000000000001
2495,Upstream Emission Reductions Through Beneficial Use of Waste Flare Gas Energy at Garnes & Gliko Project,"Crusoe Energy Systems, Inc.",Energy industries (renewable/non-renewable sources); Manufacturing industries,,AMS-III.Q,Under validation,United States,"8,333",North America,,,,65.65
2496,IMPACT REFORESTATION IN THE CHACO PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Paraguay,254,Latin America,2023-11-22,2022-01-01,2051-12-31,46.95
2497,"TIST Program in Uganda, VCS-CCB 011",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Uganda,"121,978",Africa,2024-06-20,2003-12-16,2063-12-15,52.75
2498,Afforestation of degraded grasslands in Caazapa and Guairá,Miller Forest Investment AG,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Paraguay,"204,819",Latin America,2022-01-14,2016-01-13,2046-01-12,51.95
2499,Guangzhou Huadu Shiling LFG Power Generation Project,"Guangzhou Zhongshui Recycling Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,ACM0001,Registered,China,"29,193",Asia,2021-08-06,2020-01-09,2030-01-08,58.95
2500,BONOS DEL JAGUAR AZUL,Ban.CO2 de Carbono Mestizo,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Withdrawn,Mexico,"48,518",Latin America,,2016-07-16,2046-07-15,45.050000000000004
2501,Durban Landfill-Gas Bisasar Road. - CER Conversion,Converted from other GHG program,Energy industries (renewable/non-renewable sources),,AM0010,Units Transferred from Approved GHG Program,South Africa,"342,705",Africa,,,,54.85
2502,TAHUAMANU AMAZON REDD PROJECT,MADERERA RIO ACRE SAC,Agriculture Forestry and Other Land Use,REDD,VM0006,Verification approval requested,Peru,"1,575,108",Latin America,2022-11-14,2017-04-19,2047-04-18,41.95
2503,Liling LFG Power Generation Project,"Zhuzhou Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"96,472",Asia,2021-10-29,2020-10-12,2030-10-11,61.25000000000001
2504,Adjusted Water Management in Rice Cultivation in Xuanzhou District,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,"58,064",Asia,2021-12-23,,,62.150000000000006
2505,Fuel Efficient Cooking in South Africa,TASC SA (Pty) Ltd.,Energy demand,,VMR0006,Registered,South Africa,"103,847",Africa,2022-03-09,2021-08-20,2031-08-19,64.14999999999999
2506,Adjusted Water Management in Rice Cultivation In Northern Lujiang County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,"59,282",Asia,2021-09-14,,,62.150000000000006
2507,Adjusted Water Management in Rice Cultivation In Southern Lujiang County,"Hefei Luyu Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,"59,043",Asia,2021-09-14,,,62.150000000000006
2508,UNITOR REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,On Hold - see notification letter,Brazil,"522,923",Latin America,2022-05-05,2018-04-26,2048-04-25,46.95
2509,A-Gas SA ODS Project,A-Gas South Africa,Chemical industry,,VM0016,Under development,South Africa,"200,000",Africa,,2021-05-01,2031-04-30,56.75
2510,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",African Parks RCA,Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Central African Republic,"398,553",Africa,2023-11-28,2016-09-15,2044-09-14,57.75
2511,Joburg Landfill Gas to Energy Project. - CER Conversion,Converted from other GHG program,Waste handling and disposal,,ACM0001,Units Transferred from Approved GHG Program,South Africa,"480,155",Africa,,2019-11-12,2026-11-11,55.849999999999994
2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Forest First Colombia S.A.S.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,"139,489",Latin America,2022-05-25,2016-09-15,2046-09-14,51.95
2514,PADAS Energy Biogas Plant,Multiple Proponents,Waste handling and disposal,,AM0073,Registered,Turkey,"247,871",Middle East,2022-04-13,2019-10-18,2026-10-17,61.65
2515,Sustainable Agricultural Land Management Grouped Project in India,EKI Energy Services Limited,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,"4,099",Asia,,2018-11-04,2038-11-03,48.25000000000001
