ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
2685,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-009,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,"19,372",Africa,2022-09-11,2020-04-03,2030-04-02,70.65
2687,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-010,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,"37,950",Africa,2023-02-15,2020-05-29,2030-05-28,70.65
2688,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-011,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,"37,950",Africa,2022-11-14,2020-06-12,2030-06-11,70.65
2689,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-012,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,"37,950",Africa,2022-12-07,2021-01-04,2031-01-03,70.65
2690,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-013,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,"37,950",Africa,2022-12-15,2020-09-08,2030-09-07,70.65
2691,Aonong AWMS GHG Mitigation Project in Jiangxi Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"432,191",Asia,2022-12-27,2020-04-25,2030-04-24,63.75000000000001
2692,Aonong AWMS GHG Mitigation Project in Fujian Province,Fujian Aonong Biological Technology Group Incorporation Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"451,807",Asia,2023-01-11,2020-05-01,2030-04-30,63.75000000000001
2693,Yizheng Zhongxing Recycled PET Project,"Yizheng Zhongxing Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"59,876",Asia,2022-08-05,2020-08-01,2027-07-31,74.65
2694,Fujian Dehua IFM (conversion of logged to protected forest) Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,China,"42,923",Asia,,2017-06-01,2037-05-31,46.150000000000006
2695,SHINE - Distribution of LED lightbulbs in India-5,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,"952,806",Asia,2022-11-29,2021-03-19,2031-03-18,75.55000000000001
2696,Zhengbang AWMS GHG Mitigation Project in Guangdong Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"206,667",Asia,2022-12-15,2020-05-20,2030-05-19,63.75000000000001
2697,Zhengbang AWMS GHG Mitigation Project in Sichuan Province,Jiangxi Zhengbang Technology Co. Ltd,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"98,412",Asia,2022-12-15,2020-05-15,2030-05-14,62.25000000000001
