ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
1997,TROPICAL WIND IN THAILAND,"Tropical Wind Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Thailand,"162,898",Asia,2020-04-14,2018-09-28,2028-09-27,81.35000000000001
1998,Cerro Dominador Concentrating Solar Power Plant in Chile,CERRO DOMINADOR CSP S.A.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Chile,"640,131",Latin America,2020-05-27,2021-04-10,2031-04-09,83.25
1999,KRISSANA WIND POWER IN THAILAND,"Krissana Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Thailand,"143,153",Asia,2020-09-11,2018-12-28,2028-12-27,82.35000000000001
2000,K.R.S. THREE IN THAILAND,"KRS Three Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Thailand,"157,065",Asia,2020-08-18,2018-09-28,2028-09-27,82.35000000000001
2001,K.R. ONE IN THAILAND,"KR One Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Thailand,"148,089",Asia,2020-08-18,2019-03-16,2029-03-15,82.35000000000001
2002,THEPARAK WIND IN THAILAND,"Theparak Wind Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Thailand,"156,167",Asia,2019-12-16,2018-11-27,2028-11-26,81.35000000000001
2003,Benban Solar PV Project (Plot 3_1),Alcom Energy,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Egypt,"85,879",Africa,2020-09-22,2019-08-27,2029-08-26,80.45
2004,Ouarzazate II Concentrated Solar Power Project,Numerco Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Morocco,"406,293",Africa,2020-07-01,2018-04-25,2028-04-24,80.95
2005,OUARZAZATE III CONCENTRATED SOLAR POWER PROJECT,Numerco Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Morocco,"406,293",Africa,2020-07-01,2018-11-06,2028-11-05,80.95
2006,West Huaybong 3 wind farm project,First Korat Wind Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Thailand,"139,035",Asia,,,,71.25
2007,Benban Solar PV Project (Plot 43_4),Acwa Ben Ban one for Energy,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Egypt,"83,683",Africa,2020-09-21,2019-09-08,2029-09-07,80.45
2008,Benban Solar PV Project (Plot 42_4),TK for Solar and Renewable Energy Systems,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Egypt,"34,914",Africa,2020-09-22,2019-08-20,2029-08-19,78.95
2009,Renewable Energy Generation at Hamira,Enen Green Services Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Rejected by Administrator,India,"116,832",Asia,,,,51.25000000000001
2010,Fujian Pucheng IFM (conversion of logged to protected forest) Project,"Zhejiang Zhongtuo Environmental Technology Development Co.,Ltd",Agriculture Forestry and Other Land Use,,VM0010,Withdrawn,China,"266,253",,,,,46.150000000000006
2011,Huaneng Liaoning Fuxin Phase II Wind Farm Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"659,993",,,,,74.14999999999999
2012,Liaoning Fuxin Gaoshanzi 100.5MW Wind Power Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"220,542",,,,,72.64999999999999
2013,Jilin Tongyu Huaneng 100.5MW Wind Power Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"253,287",,,,,72.64999999999999
2014,50 MW SOLAR PROJECT BY AVAADA IN UP (INDIA),Avaada Non-Conventional UPProject Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,India,"90,941",Asia,2020-11-18,2021-02-21,2031-02-20,76.85000000000001
2015,Renewable Solar Photovoltaic Project by ACME Group,ACME Cleantech Solutions Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"3,906,661",,,,,75.05
