ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
3739,Selva de Urundel REDD+ Project,CARBON CREDITS CONSULTING S.R.L.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Argentina,"317,475",Latin America,2024-12-06,2021-01-11,2051-01-10,51.45
3740,Upscaling Livelihoods and Biodiversity Through Community mobilization and lagoon restoration in Anawasala Kalpitiya,ARINMA HOLDINGS PVT (LTD,Agriculture Forestry and Other Land Use,ARR,VM0024; VM0021,Rejected by Administrator,Sri Lanka,"4,960",Asia,,2022-10-01,2032-09-30,46.85000000000001
3741,Mudurnu Biogas Energy Power Plant,Mudurnu Enerji Sanayi ve Tcaret A.Ş.,Waste handling and disposal,,AM0073,Registered,Turkey,"90,699",Middle East,2025-03-12,2021-02-10,2028-02-09,62.15
3742,Distributed Renewable Energy Program for People and Planet,GEAPP ServiceCO (India) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"92,663",Asia,2024-12-27,2021-06-23,2031-06-22,82.85000000000001
3743,RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT,Re.Green Participações S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Brazil,"487,419",Latin America,2025-01-09,2022-10-04,2122-10-03,53.95
3745,Enexor Impact USA,Enexor BioEnergy,Energy demand; Energy industries (renewable/non-renewable sources); Waste handling and disposal,,VM0018; ACM0022,Under validation,United States,"1,448,393",North America,,2023-05-01,2030-04-30,78.45
3746,NaturAll Carbon Program – Conservation Agriculture and Land Management in Brazil,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Registered,Brazil,"1,562,585",Latin America,2025-05-26,2019-11-02,2039-11-01,70.05
3747,Adjusted Water Management in Rice Cultivation In Qichun County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,064",Asia,,2020-05-28,2030-05-27,62.75000000000001
3748,Hongze-1 Water Management with Rice Cultivation,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,554",Asia,,2020-06-10,2027-06-09,62.45
3749,Hongze-2 Water Management with Rice Cultivation,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,806",Asia,,2020-06-11,2027-06-10,62.45
3750,Project 2,MAA RESTORATION LLC,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Rejected by Administrator,Estonia,"1,460,000",Europe,,2019-09-01,2119-08-31,51.550000000000004
3752,SMG - LED Light Program 1,Shri Maa Marketing Private Limited,Energy demand,,AMS-II.C.,Registered,India,"13,402",Asia,2024-04-03,2022-10-01,2029-09-30,70.75000000000001
3753,Adjusted Water Management in Rice Cultivation in Dayi County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"57,352",Asia,,2020-05-12,2030-05-11,62.75000000000001
3754,Adjusted Water Management in Rice Cultivation In Hongan County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,111",Asia,,2020-05-26,2030-05-25,62.75000000000001
3755,Cookstove distribution project in India,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Under validation,India,"3,376,316",Asia,,2022-05-09,2029-05-08,64.25
