ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
161,Texas CFL Distribution Project,Global Climate Strategies,Energy demand,,AMS-II.J.,Late to verify,United States,"29,680",North America,2009-10-28,,,61.85
162,Her-Fried Utilization of Coalmine Methane,Carbon-TF B.V.,"Fugitive emissions from fuels (solid, oil and gas)",,AMS-III.D.,Late to verify,Germany,"57,348",,2020-04-06,,,69.45
163,Imudia Utilization of Coal-Mine-Methane,Carbon-TF B.V.,Waste handling and disposal,,AMS-III.D.,Late to verify,Germany,"24,099",,2020-04-06,,,69.14999999999999
164,Primavera Small Hydroelectric Project,EcoSecurities International Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,Brazil,"82,000",Latin America,2020-04-06,,,75.05
166,Dachunhe Sanji 6MW Hydropower Project in Yunnan Province,"Yunnan New View Power Co.,Ltd.",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,China,"22,668",Asia,2020-04-06,,,74.14999999999999
167,Sexton Energy Des Plaines Landfill Methane Recovery and Destruction Project,"CoolClimate Holding, Inc. dba AtmosClear","Fugitive emissions from fuels (solid, oil and gas)",,ACM0001,Late to verify,United States,"58,787",North America,2020-04-06,,,53.650000000000006
168,Bundled Wind Project Activity by M/s Bhagyanagar India Ltd and M/s Surana Telecom and Power Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"21,499",Asia,2020-04-06,2016-10-01,2026-09-30,74.35000000000001
169,"Zhongfang County Pailou Hydro Project, China","Pailou Hydropower of Zhongfang County Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"71,606",,2020-04-06,,,75.64999999999999
170,"22.5 MW grid connected wind farm project by RSMMLin Jaisalmer,India",Rajasthan State Mines & Minerals Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"28,291",Asia,2009-11-05,,,70.75
171,Pingwu Renjiaba 12.6 MW Small Hydropower Project,"Pingwu Chuanjiang Hydropower Development Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,China,"73,089",,2020-04-06,,,75.64999999999999
172,"Yunnan Zemahe 15MW Small Hydropower Project, P. R. China",Fugong Hongda Hydropower Development Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,China,"63,561",,2020-04-06,,,75.64999999999999
173,Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL),Jaiprakash Power Ventures Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,468,106",Asia,2020-04-06,,,83.75
174,Shilong Small-Scale Hydro Power Project,"GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,China,"43,824",Asia,2015-10-06,,,69.64999999999999
175,Siliping Small-Scale Hydro Power Project,"GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,China,"17,144",Asia,2015-10-06,,,69.64999999999999
176,"Methane Capture, Power and Heat generation from Coal Mine Gas in the Concession HER-TEUTO",Carbon-TF B.V.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,AM0010,Late to verify,Germany,"64,261",Europe,2020-04-06,,,56.45
177,"Datteln-Methan 1, Utilization of Coalmine Methane",Carbon-TF B.V.,Mining/mineral production,,,Late to verify,Germany,"62,754",,2020-04-06,,,41.15
178,"Blumenthal 3/4, Utlization of Coalmine Methane",Carbon-TF B.V.,Mining/mineral production,,,Late to verify,Germany,"94,132",,2020-04-06,,,41.15
179,"Energy efficiency improvement in power generation at Sajjan India Limited, Ankhleshwar, Gujarat",Sajjan India Ltd.,Manufacturing industries,,AMS-II.D.,Late to verify,India,"24,947",Asia,2009-10-27,,,63.050000000000004
180,Rialma Companhia Energética I S/A. – Santa Edwiges I Small Hydro Power Plant - Small Scale CDM Project,Rialma Companhia Energética I S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Brazil,"13,138",Latin America,2020-04-06,2020-11-02,2027-11-01,73.85000000000001
181,Fuel-Wood Saving with Improved Cookstoves in Cambodia,GERES (Gpe Energies Renouvelables & Environnement),Energy demand,,AMS-II.G.,Late to verify,Cambodia,"192,600",Asia,2020-04-06,,,67.44999999999999
182,"Niederberg 1/2, Utilization of Coalmine Methane",Carbon-TF B.V.,Mining/mineral production,,,Late to verify,Germany,"62,754",,2020-04-06,,,41.15
183,"Niederberg 3, Utilization of Coalmine Methane Capture",Carbon-TF B.V.,Mining/mineral production,,VCS v1 Project Specific,Late to verify,Germany,"63,078",,2020-04-06,,,53.65
184,"Dingen-Methan 1, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,VCS v1 Project Specific,Late to verify,Germany,"62,754",Europe,2020-04-06,,,53.65
185,"Fuel-Switching Project from Fossil Fuels to Biomass in La Providencia, Arcor",Arcor Group,Energy industries (renewable/non-renewable sources); Manufacturing industries,,AM0036,Late to verify,Argentina,"41,700",Latin America,2020-04-06,2017-05-01,2027-04-30,54.150000000000006
186,Jintang 15.5MW Hydropower Project,"Shaanxi Lan River Hydropower Development Co.,Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"59,213",,2020-04-06,,,75.64999999999999
187,Maobaguan 24MW Hydropower Project,"Shaanxi Hanjiang Hydropower Development Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"81,966",,2020-04-06,,,75.64999999999999
188,Granja Tres Arroyos Methane Avoidance in Slaughterhouse Effluents Project,Granja Tres Arroyos S.A.,Waste handling and disposal,,AMS-III.I.,Late to verify,Argentina,"43,680",,2020-04-06,,,66.25
191,4×50 MW Dayingjiang- 3 Hydropower Project Phases 1&2,Dehong Kairui Dayingjiang Hydropower Dev. Co. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval request denied,China,"569,379",Asia,2020-04-06,,,78.64999999999999
192,"48 MW Houqiao Hydropower Project, Yunnan, China","Yunnan Baoshan Binglang River Hydropower Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"178,615",Asia,2020-04-06,,,81.14999999999999
193,Yunnan Ajiutian 115.5 MW Hydropower Project,"Yunnan Baoshan Supahe Hydropower Development Co.,",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"477,506",,2020-04-06,,,77.14999999999999
194,Yunnan Wunihe 30 MW Hydropower Project,"Yunnan Baoshan Supahe Hydropower Development Co.,",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"116,595",,2020-04-06,,,77.14999999999999
195,"8.3 MW Wind Electricity Generation Project by Parakh Agro Industries Limited in Dhule, Maharashtra",Parakh Agro Industries Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,175",Asia,2009-11-24,,,74.75
196,Tiefa Coal Industry Group CMM Utilization Project,"Tiefa Coal Industry (Group) Co., Ltd.","Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008,Late to verify,China,"731,169",Asia,2020-04-06,2020-04-01,2027-03-31,56.95
197,Kamiranga Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,"29,828",Latin America,2020-04-06,2018-01-01,2027-12-31,63.150000000000006
198,J L Silva Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,"20,941",Latin America,2020-04-06,2016-10-01,2026-09-30,63.150000000000006
199,Santorini Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Late to verify,Brazil,"14,601",Latin America,2020-04-07,2018-04-01,2028-03-31,59.150000000000006
200,Velotex Ceramic Switching Fuel Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Late to verify,Brazil,"31,774",Latin America,2011-11-23,2016-04-01,2026-03-31,56.150000000000006
201,Barbosa Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,"19,971",Latin America,2020-06-04,2017-12-01,2027-11-30,63.150000000000006
202,Bom Jesus Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,"9,356",,2020-04-13,2017-01-01,2026-12-31,61.650000000000006
203,"Blumenthal 7, Utilisation of Coal-Mine-Methane",Carbon-TF B.V.,"Fugitive emissions from fuels (solid, oil and gas)",,,Late to verify,Germany,"94,132",,2020-04-06,,,41.95
204,"Hugo 9, CMM Utilization",Carbon-TF B.V.,Mining/mineral production,,AMS-III.D.,Late to verify,Germany,"94,132",,2020-04-06,,,68.64999999999999
205,"Consolidation 1/6, Utlization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,AMS-III.D.,Late to verify,Germany,"31,377",,2020-04-06,,,67.14999999999999
206,"Emschermulde 1, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,,Late to verify,Germany,"94,132",,2020-04-06,,,41.15
207,"Erin 6, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,AMS-III.D.,Late to verify,Germany,"62,662",,2020-04-06,,,68.64999999999999
208,"Ewald Fortsetzung 4/5, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,AMS-III.D.,Late to verify,Germany,"188,263",,2020-04-06,,,70.15
209,"Gneisenau 4, Utilisation of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,,Late to verify,Germany,"470,660",,2020-04-06,,,42.65
210,"Haus Aden, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,Mining/mineral production,,ACM0008,Late to verify,Germany,"199,021",,2020-04-06,,,55.15
