ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
5106,Agroforestry Project in the Coffee Landscapes of Guatemala,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Guatemala,"5,473",Latin America,,2021-06-06,2061-06-05,48.45
5107,TERAKA MADAGASCAR: SMALLHOLDER TREE PLANTING PROGRAM,ITERAKA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Madagascar,"58,884",Africa,,2023-10-01,2063-09-30,53.25
5108,Bamboo King Vina Biochar Project,Bamboo King Vina Joint Stock Company,Waste handling and disposal,,VM0044,Registration requested,Viet Nam,"44,634",Asia,,2024-08-09,2031-08-08,81.25000000000001
5109,Improved cropland management project in Aktaw and Shufu,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,"102,663",Asia,,2021-06-15,2041-06-14,62.650000000000006
5110,Improved cropland management project in Yanshou and Mulan,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"116,138",Asia,,2022-10-15,2062-10-14,62.050000000000004
5112,Wuhu Improved Agricultural Land Management Project,"Zoomlion Smart Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"485,986",Asia,,2021-05-30,2051-05-29,61.050000000000004
5113,OYU - Powering Kenyan SMEs with Clean Energy,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Kenya,"20,201",Africa,,2022-08-01,2029-07-31,76.65
5114,Grouped Projects for Safe Water Program in Uganda,Evidence Action,Energy demand,,AMS-I.E.; VMR0006; AMS-III.AV.,Registered,Uganda,"429,057",Africa,2025-01-30,2022-09-01,2029-08-31,74.35000000000001
5115,Grouped Projects for Safe Water Program in Malawi,Evidence Action,Energy demand,,AMS-I.E.; VMR0006; AMS-III.AV.,Registered,Malawi,"364,574",Africa,2025-02-06,2022-09-01,2029-08-31,74.35000000000001
5117,Agroforestry Corridors for Multi Cropping Systems in Brazil,Thryve.Earth Pte. Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"114,000",Latin America,,2025-06-01,2065-05-31,54.95
5118,Farm Resilience and Regeneration in France and Belgium,ReGeneration,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,France,"428,119",Europe,,2023-01-01,2042-12-31,64.45
5120,Global Safe Drinking Water for Schools in Cambodia,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Under validation,Cambodia,"962,172",Asia,,2024-07-01,2034-06-30,72.55000000000001
5121,Global Safe Drinking Water for Schools in Lao,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-I.E.; AMS-III.AV.,Under validation,Lao,"678,374",Asia,,2024-07-01,2034-06-30,72.55000000000001
5122,Global Safe Drinking Water for Schools in Viet Nam,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Under validation,Viet Nam,"938,771",Asia,,2024-04-21,2034-04-20,72.55000000000001
5123,GKF AGROFORESTRY PROJECT IN TELANGANA,Emergent Ventures India Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"262,253",Asia,,2021-06-01,2121-05-31,53.150000000000006
5124,Waste Heat Recovery Based Power Generation Project of Bestway Cement Limited at Pakistan,Project Team ATR Inc.,Manufacturing industries,,AMS-III.Q,Under validation,Pakistan,"59,447",Asia,,2023-04-05,2033-04-04,71.15
5125,Enhancing Agricultural Sustainability through Carbon Credits: Mzuri Improved Agricultural Management,Mzuri World Carbon sp. zo.o.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Poland,487,Europe,,2022-01-01,2041-12-31,56.650000000000006
5126,Masaka - Locally made cookstoves in Madagascar,Madaprojects SRL SB,Energy demand,,VMR0006,Registration requested,Madagascar,"46,581",Africa,,2023-10-16,2030-10-15,57.849999999999994
