ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
475,Heilongjiang Shaobaishan Wind Power Project,"Yichun Longyuan Hero Asia Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"128,442",Asia,2020-04-06,,,81.14999999999999
476,28MW Jinkouba Hydropower Project,Jintai Hydropower Co. Ltd in Gansu Province,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"108,689",Asia,2010-06-21,2018-02-01,2028-01-31,78.75
477,20 MW Enercon Windfarms (SAI) Pvt. Limited in Maharashtra,Enercon (India) Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"27,593",Asia,2010-08-04,2017-05-01,2027-04-30,71.35000000000001
478,GHG Mitigation by Energy Efficiency Improvement as a result of replacement of Base Transceiver Station electronics in Telecom Towers,Tata Teleservices Maharashtra Limited,Energy demand,,AMS-II.C.,Late to verify,India,"16,272",Asia,2010-08-10,2018-05-15,2028-05-14,62.050000000000004
479,Curva de Rodas and La Pradera landfill gas management project,Green Gas Colombia,Waste handling and disposal,,ACM0001,Late to verify,Colombia,"167,321",Latin America,2020-04-06,2022-07-07,2029-07-06,56.05
480,"Reduction in GHGs emission from primary aluminium smelter at Hindalco, Hirakud India",HINDALCO INDUSTRIES LIMITED,Metal production,,AM0059,Late to verify,India,"127,319",Asia,2010-08-10,,,50.95
481,9 MW Wind Power Project in Tamil Nadu by ACC Limited,ACC Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"23,121",Asia,2020-04-06,,,73.75
482,2.5 MW Bundled Wind Power Project in Maharashtra (India),Raj Infrastructure Development (India) Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,946",Asia,2010-08-18,,,73.25
483,"Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh, India",DSL HYDROWATT PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"23,425",Asia,2020-04-06,,,77.75
484,Thermal energy from Biomass at Mohota Mills,The Rai Saheb Rekhchand Mohota Spinning & Weaving,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,India,"22,445",Asia,2020-04-06,,,53.75000000000001
485,Longyou 18MW Hydropower Project in Zhejiang Province,Zhejiang Longyou Xiaoxitan Hydro Complex Developme,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"59,428",Asia,2010-08-24,2020-09-13,2027-09-12,72.95
486,"50 MW Sipansihaporas Hydro Power Plant, North Sumatra",PT. PLN (Persero),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Indonesia,"185,392",Asia,2020-04-06,2016-04-01,2026-03-31,81.35000000000001
487,"210 MW Musi Hydro Power Plant, Bengkulu",PT. PLN (Persero),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Indonesia,"953,128",Asia,2020-04-06,2016-08-01,2026-07-31,82.85000000000001
488,"82 MW Lau Renun Hydro Power Plant, North Sumatra",PT. PLN (Persero),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Indonesia,"270,019",Asia,2011-12-21,2016-09-01,2026-08-31,78.35000000000001
489,44 MW Bundled Wind Power Project in Maharashtra managed by Enercon India Limited.,Wind World (India) Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"75,368",Asia,2020-04-06,2016-04-01,2026-03-31,79.85000000000001
490,Enercon Wind Farms (Hindustan) Pvt Ltd in Rajasthan,Enercon (India) Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"101,047",,2020-04-06,,,76.55
491,"Bionersis landfill project in Pasto, Colombia",Bionersis S.A.,Waste handling and disposal,,,Late to verify,Colombia,"24,905",,2020-04-06,,,40.25
492,"3.75 MW Wind Project Activity by M/s Muthoot Finance Ltd in the state of Tamilnadu, India.",Muthoot Finance Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"9,456",Asia,2010-09-09,,,69.25
493,"5 MW Brahm Ganga Hydro – Electric Project at Kullu district of Himachal Pradesh, India",Harisons Hydel Construction Co. (P) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,868",Asia,2010-09-10,2018-04-02,2028-04-01,75.35000000000001
494,Zhangjiagang Nature Gas Power Generation Project,"Zhangjiagang Huaxing Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0029,Late to verify,China,"1,231,243",Asia,2020-04-06,2019-06-08,2026-06-07,60.45
495,"Positive Climate Care 8.75 MW bundled Wind Power Project Activity in the state of Maharashtra, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"13,892",Asia,2020-04-06,,,73.75
496,"Positive Climate Care 6.25 MW Bundled Wind Power Project Activity in the state of Tamilnadu, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"6,189",Asia,2020-04-06,,,72.25
497,"18.86 MW Bundled Wind Power Project, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"30,398",Asia,2020-04-06,2022-01-01,2028-12-31,74.05000000000001
498,"Grid-connected wind electricity generation project in Tamil Nadu, India",National Enterprises,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"7,402",Asia,2010-10-08,,,73.25
499,"Positive Climate Care 4.67 MW Bundled Grid connected Wind Power Project Activity in Jaisalmer, Rajasthan, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"13,233",Asia,2020-04-06,,,77.75
500,"Positive Climate Care 3.55 MW bundled Grid connected Wind Power Project Activity in Jaisalmer, Rajasthan, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"3,120",Asia,2010-10-08,,,73.25
501,"Positive Climate Care 8.70 MW bundled Wind Power Project Activity in the state of Maharashtra, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"13,812",Asia,2020-04-06,,,73.75
502,Utilization of agro-residue biomass in a co-generation system,ITC Limited - Paperboards & Specialty Papers Divis,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,India,"69,921",Asia,2020-04-06,,,55.25000000000001
503,Henan Zhengzhou Grid Connected Natural Gas Combined Cycle Power Plant,"Zhengzhou Combined Cycle Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"691,502",,2020-04-06,,,78.64999999999999
504,Hainan Danzhou Eman Wind Power Project,Hainan Longyuan Wind Power Co. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"75,702",Asia,2010-10-18,,,76.64999999999999
