ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
787,Durban Landfill-Gas Bisasar Road,eThekweni municipality cleansing & solid waste,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AM0010,Verification approval requested,South Africa,"378,623",Africa,2020-04-06,,,56.35
788,China Guangdong Shenzhen Qianwan LNG generation project,"Shenzhen Guangqian Electric Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002; AM0029,Late to verify,China,"857,072",Asia,2012-03-05,2016-12-01,2026-11-30,76.25
789,Inner Mongolia Bayinxile Wind Power Project,China Resources Wind Power Inner Mongolia Bayinxil,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"130,286",,2012-03-01,,,74.14999999999999
790,Roaring 40s Wind Farms (Khandke) Private Limited - Phase III,CLP Wind Farms (Khandke) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"24,085",Asia,2012-03-07,,,74.75
791,Roaring 40s Wind Farms (Khandke) Private Limited – Phase II,CLP Wind Farms (Khandke) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"33,319",Asia,2020-04-06,2020-03-31,2030-03-30,74.35000000000001
792,Tadi 16 MW Hydropower Project in Zhejiang Province,"Quzhou Tadi Hydro Complex Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"52,324",Asia,2020-04-06,,,75.64999999999999
793,China Resources Huilai Xian¡¯an Wind Power Project,"China Resources Wind Power (Huilai) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"87,648",Asia,2020-04-06,,,79.64999999999999
794,Dahao Wind Power Project,"China Resources Windpower Development (Shantou Haojiang) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"40,000",Asia,2020-04-06,,,78.14999999999999
795,Dalmia Chini Mills Nigohi Project,Dalmia Bharat Sugar and Industries Limited,Energy industries (renewable/non-renewable sources),,ACM0006,Late to verify,India,"32,795",Asia,2020-04-06,,,53.75000000000001
796,"Alto Huayabamba: Carbon Dioxide sequestration through reforestation with small-scale farmers in Peru, San Martin Region",The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Peru,"4,844",Latin America,2020-04-06,2008-04-01,2048-03-31,46.45
797,Jingshan Kaidi Biomass Power Project,"Jingshan Kaidi Green Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002; ACM0006,Late to verify,China,"90,446",Asia,2012-03-19,,,72.64999999999999
798,Guangdong Guanshan Wind Power Project,"China Resources Wind Power (Huilaizhoutian) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"90,124",Asia,2012-03-01,,,76.64999999999999
799,Bukaleba Forest Project,Busoga Forestry Co. Ltd (Subsidiary Green Resources),Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,Registered,Uganda,"11,903",Africa,2012-03-20,2004-03-11,2046-03-10,44.75
800,10.30 MW Grouped Wind Power Project in India.,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"16,666",Asia,2012-03-20,2016-04-01,2026-03-31,71.35000000000001
801,"10 MW Biomass Based Power Generation Project by Rake Power Limited at Ramtek, Nagpur",Rake Power Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"40,244",Asia,2020-04-06,,,73.75
802,Tra Linh 3 Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Viet Nam,"15,083",Asia,2020-04-06,,,73.75
803,"9 MW grid connected bundled wind electricity generation project at Tirunelveli, Tamilnadu",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"23,189",Asia,2012-03-29,,,70.75
804,Datang Jilin Shuangliao Wind Farm Project,Climate Change Capital Carbon Fund S.a.r.l.,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"103,585",Asia,2020-04-06,2021-04-01,2028-03-31,77.45
805,Waste Heat based 10 MW captive power project “GPIL- WHRB 2” CDM PROJECT ACTIVITY,Godawari Power and Ispat Ltd.,Energy industries (renewable/non-renewable sources),,ACM0012,Late to verify,India,"50,620",Asia,2020-04-06,,,55.25000000000001
806,YESIL HYDROELECTRIC POWER PLANT (HEPP),Yeşilbas Elektrik Üretim AŞ,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,Turkey,"27,069",Middle East,2020-04-06,2019-12-04,2029-12-03,74.75
807,Hebei Chongli County Qingsanying Second Phase 49.3MW Wind Power Project,"Chongli Construction Investment Huashi Wind Energy Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"108,101",Asia,2020-04-06,,,81.14999999999999
808,Yuxian Baiyantuo 49.3 MW Wind Power Project,"Hebei Construction Investment Yuzhou Wind Energy Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"86,587",Asia,2020-04-06,,,79.64999999999999
809,Wind power project by AL – Wind Energy in Tamilnadu,AL-Wind Energy,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"17,561",Asia,2020-04-06,2017-02-21,2027-02-20,74.35000000000001
810,CEYHAN 61.7 MW Hydropower Project,Enova Enerji Üretim A.Ş.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"118,275",Asia,2012-04-04,,,78.14999999999999
811,Nam Ngan Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Viet Nam,"29,322",Asia,2020-04-06,,,73.75
812,Bull Run Overseas Forest Carbon Project,Bull Run Overseas Ltd.,Agriculture Forestry and Other Land Use,REDD,VM0007,Late to verify,Belize,"12,315",Latin America,2020-04-06,2009-01-01,2038-12-31,33.95
813,Inner Mongolia Chifeng Gaofeng Wind Power Project,"Chifeng Xinsheng Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"150,915",Asia,2020-04-06,,,81.14999999999999
814,Hebei Yuxian Second Phase 49.5MW Wind Power Project,"Hebei Construction Investment Yuzhou Wind Energy Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"111,243",Asia,2020-04-06,,,81.14999999999999
815,Chifeng Sunjiaying Wind Power Project,"Chifeng Xinsheng Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"123,699",Asia,2020-06-04,,,81.14999999999999
816,BATISOKE Soke Çimento Sanayii T.A.S. 5.5 MW Cement WHR Project,Batısoke Soke Çimento San. T.A.S.,Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,Turkey,"16,993",Asia,2020-06-04,,,58.150000000000006
817,Datong River Zhuchaxia Hydropower Station,GEPIC Darong Electric Power Company Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"121,617",Asia,2020-04-06,,,81.14999999999999
818,Protection of the Bolivian Amazon Forest,Fermin Aldabe,Agriculture Forestry and Other Land Use,REDD,VM0007,Late to verify,Bolivia,"5,885",Latin America,2020-04-06,2011-10-20,2041-10-19,32.45
819,Mariposas Hydroelectric Project,Hidroeléctrica Río Lircay S.A.,Energy industries (renewable/non-renewable sources),,AM0026,Registered,Chile,"18,219",Latin America,2020-04-06,2021-01-01,2030-12-31,78.75
820,RFC Grouped Wind Projects Phase I,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,United States,"3,064",North America,2020-04-06,,,72.64999999999999
821,13.95 MW grid connected wind electricity generation by SRF Limited,SRF Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"34,886",Asia,2020-04-06,,,77.75
822,BATICIM BATI ANADOLU CIMENTO SANAYII A.S. 9 MW Cement WHR Project,Baticim Bati Anadolu Cimento Sanayii A.S.,Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,Turkey,"25,180",Asia,2020-04-06,,,58.150000000000006
823,Datong River Tianwanggou Hydropower Station,GEPIC Darong Electric Power Company Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,"179,797",Asia,2020-04-06,,,81.14999999999999
824,"TIST Program in Uganda, VCS 001",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Late to verify,Uganda,"24,348",Africa,2012-05-22,2003-01-01,2032-12-31,40.75
825,"TIST Program in Uganda, VCS 002",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Late to verify,Uganda,"4,801",Africa,2020-04-06,2003-01-01,2032-12-31,42.25
826,"TIST Program in Uganda, VCS 004",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,"2,958",Africa,2012-05-22,2003-01-01,2032-12-31,43.25
827,"TIST Program in Uganda, VCS 003",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,"13,112",Africa,2012-05-23,2003-01-01,2032-12-31,44.75
828,12.25 MW Bundled Wind Power Project in India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"20,121",Asia,2020-04-06,2016-03-31,2026-03-30,74.35000000000001
