ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
1582,Wind Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-03),Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"171,293",Asia,2017-06-08,2016-03-29,2026-03-28,79.85000000000001
1583,Solar Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-02),Clean Solar Power (Dhar) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"55,242",Asia,,,,73.75
1584,Solar VCS Project by RSMML (EKIESL-VCS -Nov 2016-01),Rajasthan State Mines & Minerals Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"8,500",Asia,2017-02-11,,,70.75
1587,Fatma WEPP,Derne Temiz Enerji A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"110,484",Asia,2021-06-11,2016-10-21,2026-10-20,82.75
1596,"The Juma Sustainable Development Reserve Project: Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation plus forest management in the State of Amazonas, Brazil",Fundação Amazonas Sustentável - FAS,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration requested,Brazil,"238,530",Latin America,,2016-01-01,2025-12-31,44.150000000000006
1622,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Fundacion para el Ecodesarrollo y la Conservacion [FUNDAECO],Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Guatemala,"728,161",Latin America,2020-06-04,2012-04-01,2042-03-31,49.95
1623,Denizli Bundled Solar Project,Yesilvadi Elektrik Üretim A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,"6,818",Asia,2020-04-06,,,76.64999999999999
1624,"Biomass Based Cogeneration Project by CG GROUP, NEPAL",CG Brewery (Nepal) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,Nepal,"47,925",Asia,2023-07-20,2016-09-01,2026-08-31,60.35000000000001
1643,The New Horizons (ATHLONE) Waste to Energy Project,New Horizons Waste to Energy (Pty) Ltd,Waste handling and disposal,,ACM0022,Under development,South Africa,"30,438",Africa,,2017-06-01,2027-05-31,66.64999999999999
1644,Larimar Wind Farm Project,EMPRESA GENERADORA DE ELECTRICIDAD HAINA S.A. (EGE HAINA),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Dominican Republic,"265,391",Latin America,2017-06-15,2016-08-01,2026-07-31,79.65
1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Cambodia,"1,426,648",Asia,2020-04-06,2010-01-01,2069-12-31,51.650000000000006
1651,AAC Block Manufacturing Using Energy Efficient Technology by JKLCL,JK Lakshmi Cement Ltd.,Manufacturing industries,,AMS-III.Z,Registered,India,"36,684",Asia,2017-08-08,2016-03-21,2026-03-20,70.65
1652,Centrale Solaire de Malicounda - Groupe Solaria,SENELEC,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Senegal,"26,547",Africa,,2016-09-07,2026-09-06,72.45
1654,Fortaleza Ituxi REDD Project,Fazenda Nossa Senhora das Cachoeiras do Ituxi,Agriculture Forestry and Other Land Use,REDD,VM0015,On Hold - see notification letter,Brazil,"137,675",Latin America,2020-06-04,2013-12-15,2043-12-14,44.45
1656,Zhangbei Manjing Windfarm Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,China,"94,095",Asia,,,,74.14999999999999
1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Fundación Natura,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Colombia,110,Latin America,,2015-03-14,2045-03-13,37.95
1658,Tugela Mill Fuel Switching Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Units Transferred from Approved GHG Program,South Africa,"55,912",Africa,,,,53.35
1659,Reduction of CO2 Emissions by Glass Recycling,Rhenus Recycling GmbH,Waste handling and disposal,,AMS-III.AJ.,Under development,Germany,460,Europe,,,,63.15
1660,Wind bundle project in Maharashtra by Sispara,M/s Sispara Renewable Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"60,746",Asia,2017-02-14,,,77.75
1661,Costa Rica Grouped Wind Project,"Alisios Holdings, S.A.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Costa Rica,"92,710",Latin America,2017-01-08,2016-12-09,2026-12-08,78.75
1662,Improved Jikos Project in Kenya,ClimateCare Limited,Energy demand,,AMS-II.G.,Under validation,Kenya,"40,064",Africa,,,,63.55
1663,Fazenda Sao Paulo Afforestation,MARONESE SERVICOS AGRICOLAS E LOCACAO LTDA,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold - see notification letter,Brazil,"19,380",Latin America,2020-06-16,2013-01-01,2032-12-31,44.550000000000004
1664,Yunnan Xishuangbanna Improved Forest Management Project,"Xishuangbanna Forestry Bureau of Yunnan province, P.R.China.",Agriculture Forestry and Other Land Use,IFM,VM0010,Verification approval request denied,China,"68,100",Asia,2020-04-06,2012-01-01,2031-12-31,49.150000000000006
1665,HPP Project Liberia,Liberian Agricultural Company,Energy industries (renewable/non-renewable sources),,Methodology Under Development,Registered,Liberia,"3,580",Africa,2020-04-06,2016-06-19,2026-06-18,56.45
1666,Move Systems Grouped Project. Fuel Switching in Food Carts and Ambulances Electrification in NYC,Multiple Proponents,Energy demand,,AMS-III.B.,Late to verify,United States,"8,863",North America,2017-03-29,2016-01-01,2025-12-31,62.45
1667,Çerçikaya Wind Power Project,ZT Enerji Elektrik Üretim San. Ve Tic. A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"101,473",Asia,2021-09-20,,,82.14999999999999
1669,Bundled Wind Power Project by Giriraj Enterprises,Giriraj Enterprises,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"83,279",Asia,2020-04-06,,,79.25
1670,Bundled Solar Power Project by D.J. Malpani and Giriraj Enterprises,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"93,022",Asia,2020-04-06,,,79.25
1671,"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India",Panama Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"186,270",Asia,2020-04-06,,,80.75
1672,Musokotwane REDD+ Project,Zambruss Enterprises,Agriculture Forestry and Other Land Use,REDD,VM0009,Withdrawn,Zambia,"1,100,000",Africa,,2017-06-01,2047-05-31,50.25
1673,AAC Block Project By HIL Limited,Hyderabad Industries Limited,Manufacturing industries,,AMS-III.Z,Registered,India,"21,636",Asia,2021-05-05,2015-11-28,2025-11-27,71.65
1674,Gilé National Reserve REDD Project,National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Mozambique,"68,821",Africa,2020-11-16,2012-01-01,2031-12-31,40.85
1675,University of Wisconsin Milwaukee Campus Wide Clean Energy & Energy Efficiency Project,University of Wisconsin Milwaukee (UWM),Energy demand; Energy industries (renewable/non-renewable sources),,VM0025,Registered,United States,"3,156",North America,2017-09-13,,,56.650000000000006
1676,Çiçekli HEPP Project,Kurtal Elektrik Uretim A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Turkey,"10,417",Middle East,,2017-06-14,2027-06-13,73.25
1677,Vaayu India Wind Power Project in Gujarat - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,India,"26,188",Asia,,,,72.25
1678,Grid Connected Wind Energy Generation at Andhra Pradesh.,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,India,"18,161",Asia,,,,68.25
1679,"Bundled Wind Power Project in Madhya Pradesh, Gujarat and Kerala by D.J. Malpani",D. J Malpani,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"127,207",Asia,2020-04-28,2016-03-28,2026-03-27,81.35000000000001
1680,Tri-Community Recycling and Sanitary Landfill Project,"3Degrees Group, Inc..",Waste handling and disposal,,ACM0001,Under development,United States,"4,000",North America,,2018-05-20,2028-05-19,52.45
