ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
1829,"Biomass based power project in Punjab, India",Dee Development Engineers Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,India,"42,657",Asia,,2020-06-08,2030-06-07,74.35000000000001
1830,Wind Power Project at Theni by Powerica Limited,POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"21,864",Asia,2018-11-28,,,77.75
1831,"Wind Energy Project at Devbhoomi Dwaraka,Gujarat by Powerica Limited",POWERICA LIMITED,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"42,210",Asia,2019-03-21,,,77.75
1832,Haidong Afforestation Project,"Qinghai Forestry Ecological Construction and Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ARR; IFM; REDD,AR-ACM0003,Late to verify,China,"598,145",Asia,2020-04-06,2014-04-21,2114-04-20,49.050000000000004
1834,60 MW Solar by Solarsys Non Conventional Energy Pvt. Ltd. - Ilkal.,WeAct Pty Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"87,651",Asia,,2018-03-31,2028-03-30,72.85000000000001
1835,Caruquia 9.76 MW Hydroelectric Project,Caruquia S.A.S .ES.P.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Colombia,"20,303",Latin America,2018-12-11,2020-01-28,2030-01-27,74.15
1836,Guanaquitas 9.74 MW Hydroelectric Project,Guanaquitas S.A.S .ES.P.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Colombia,"21,973",Latin America,2018-12-11,2020-06-30,2030-06-29,74.15
1838,Renewable Energy Wind Power Project in Karnataka,Vish Wind Infrastructure LLP,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration requested,India,"12,294",Asia,,2017-07-01,2027-06-30,72.85000000000001
1839,CECIC HKC Danjinghe Wind Farm Project,"CECIC HKE Wind Power CO.,LTD",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"471,661",Asia,2019-01-04,,,77.14999999999999
1840,Ovejería Photovoltaic Power Plant,Colbun S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Chile,"13,103",Latin America,2020-04-06,2018-05-25,2028-05-24,78.75
1841,Santa Teresa Hydropower Plant,INLAND ENERGY,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Peru,"293,121",Latin America,2020-04-06,2015-09-01,2025-08-31,81.15
1842,100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.,Clean Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"176,539",Asia,2019-01-03,2018-09-16,2028-09-15,81.35000000000001
1843,100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.,Giriraj Renewables Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"135,329",Asia,,2018-04-16,2028-04-15,74.35000000000001
1844,80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.,Fermi Solar Farms Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"206,705",Asia,2018-12-31,2018-04-14,2028-04-13,81.35000000000001
1845,30 MW SOLAR BY AVAADA SUSTAINABLE ENERGY PVT LTD – HANAGAL.,Avaada Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"43,825",,,,,69.05
1846,30 MW SOLAR BY SOLARSYS NON CONVENTIONAL ENERGY PVT. LTD. - BANAVIKAL.,Solarsys Non conventional Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"43,825",,,,,69.05
1847,Qianxinan Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold - see notification letter,China,"469,669",Asia,2020-04-06,2014-04-15,2034-04-14,48.150000000000006
1848,"Korea - Myanmar Joint - Bago Region REDD+ Program, with North Zamari Wildlife Sanctuary",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Registration requested,Myanmar,"238,397",Asia,,2016-06-03,2046-06-02,35.65
1849,"Ranchland Solar, LLC","Ranchland Solar, LLC",Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,United States,"30,267",North America,,2019-01-04,2029-01-03,74.75
1850,Pesqueiro Energia Small Hydroelectric Project (PESHP) - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Units Transferred from Approved GHG Program,Brazil,"17,927",Latin America,,,,72.05
1851,Renewable Solar Power Project by ReNew Solar Power Private Limited,ReNew Solar Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,India,"1,767,281",Asia,2019-02-12,2017-02-13,2027-02-12,80.35000000000001
1852,"Northern Fuel Pipeline Transportation Project, Thailand",Multiple Proponents,Transport,,AM0110,Registered,Thailand,"29,180",Asia,2020-11-10,2019-05-01,2029-04-30,57.75000000000001
1853,9.9 MW Wind Power Project by KPL International Ltd. in Gujarat,KPL International Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"24,232",Asia,2019-01-17,2017-02-28,2027-02-27,78.35000000000001
1854,20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT,Shri Keshav Cements & Infra Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"33,707",Asia,2020-04-23,2018-04-01,2028-03-31,78.35000000000001
1855,Hechu Afforestation Project in Anhui Province,"Hefei Zhuoya Landscaping Engineering Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"469,187",Asia,2020-06-04,2014-04-22,2034-04-21,45.150000000000006
1856,Bundled Wind Power Project by Sembcorp Green Infra Limited in India,Green Infra Wind Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"191,006",Asia,2019-05-08,2017-03-02,2027-03-01,81.35000000000001
1857,Grouped OFF-GRID Renewable Energy Project in India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"38,366",Asia,2019-04-01,2017-04-01,2027-03-31,78.35000000000001
1859,Heqing Solar Cooker Project II,"Clean Air Trade, Inc.",Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,"143,762",Asia,2019-02-14,2016-12-01,2026-11-30,61.75000000000001
1860,Heqing Solar Cooker Project I,"Clean Air Trade, Inc.",Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,China,"143,762",Asia,2019-02-14,,,61.150000000000006
1861,3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd,Winsome Textile Industries Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"17,619",Asia,2020-07-09,2017-03-31,2027-03-30,78.35000000000001
1862,Bundled Wind Power Project in Gujarat and Tamil Nadu,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"29,987",Asia,2021-02-23,,,78.75
1863,ENERGY EFFICIENCY COOK STOVE IMPLEMENTATION IN NEPAL,Enen Green Services Private Limited,Energy demand,,AMS-II.G.,Late to verify,Nepal,"56,811",Asia,2019-07-19,2017-07-19,2027-07-18,66.55
1864,Puzhen Afforestation Project in Guizhou Province,"Guizhou Baiheng Fertiliser Co., Ltd",Agriculture Forestry and Other Land Use,ARR; IFM; REDD,AR-ACM0003,On Hold - see notification letter,China,"313,023",Asia,2020-04-06,2014-04-01,2044-03-31,47.550000000000004
