ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
3034,Global Cookstove Program (EKI Phase 15),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3035,Global Cookstove Program (EKI Phase 16),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3036,Global Cookstove Program (EKI Phase 17),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3037,Global Cookstove Program (EKI Phase 18),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3038,Global Cookstove Program (EKI Phase 19),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3039,Global Cookstove Program (EKI Phase 20),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,"50,552",Asia,,2021-12-01,2028-11-30,58.75
3040,RIMBOSCHIMENTO PROGETTO DELLA SOCIETA' AGRICOLA GAIA SRL BAMBOO PLANT,GAIA s.r.l. Societa Agricola,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Italy,"9,860,921",Europe,,2019-03-28,2061-03-27,50.550000000000004
3041,EZVOLT - EV CHARGING NETWORK CARBON CREDITS PROJECT,Easy Volt Brasil Ltda,Transport,,VM0038,Registered,Brazil,"16,822",Latin America,2025-04-28,2022-12-01,2032-11-30,59.550000000000004
3045,Reduced Emissions from Improved and Efficient Cooking in Ugandan Communities,PERSISTENTCLIMATE INDIA PRIVATE LIMITED,Energy demand,,VMR0006,Registered,Uganda,"453,602",Africa,2023-03-08,2021-01-02,2031-01-01,65.14999999999999
3046,BATMAN LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,Turkey,"59,642",Middle East,2023-02-02,2020-10-30,2027-10-29,81.95
3047,Nanyang Dongjia Composting Project in Fangcheng County,"Nanyang Dongjia Agriculture and Animal Husbandry Development Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"58,812",Asia,2023-02-03,2020-11-01,2030-10-31,76.45
