ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
320,"Upgradation and expansion of A.P.M.C compost plant at Tikri, Delhi",IL&FS Ecosmart Limited,Waste handling and disposal,,AMS-III.F.,Late to verify,India,"17,546",Asia,2020-04-06,,,67.94999999999999
321,"6.2 MW Bundled Wind Project in Tamil Nadu, Rajasthan and Maharashtra by Interocean.",Interocean Shipping (India) Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"9,906",Asia,2020-04-06,,,72.25
322,Lara Ceramic fuel switching project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,Brazil,"10,275",Latin America,2020-04-07,,,53.550000000000004
323,Panorama Ceramic Fuel Switching Project,Indústria Cerâmica Panorama LTDA.,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Late to verify,Brazil,"7,398",Latin America,2020-04-06,,,57.050000000000004
324,"Bundled wind power project by KMSPL, Bangalore",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"83,350",Asia,2020-04-16,2016-04-01,2026-03-31,75.85000000000001
325,Lugouhe Hydropower Station Project,"Sichuan Ebian Lugouhe Hydroelectricity Co., Ltd.",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,China,"18,928",Asia,2020-04-06,,,78.14999999999999
326,Jinti Hydropower Station Project,"Sichuan Ebian Jindong Tiji Hydropower Co., Ltd.",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Verification approval request denied,China,"17,326",Asia,2020-04-06,,,74.14999999999999
327,Guosheng Hydropower Station Project,"Yanbian Mingyuan Electric Power Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,China,"15,121",Asia,2020-04-06,2015-08-03,2025-08-02,74.75
328,Huangjueshu Hydropower Station Project,"Panzhihua Reshuihe Power Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,China,"24,357",Asia,2020-04-06,2015-12-29,2025-12-28,74.75
329,"Nova Dutra, São Silvestre and Vila Nova Fuel Switching Project",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,Brazil,"19,599",Latin America,2020-04-07,,,53.550000000000004
