ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
3203,Yunnan Yulong Afforestation Project,"Yulong State Owned Capital Investment and Operation Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,China,"765,439",Asia,,2018-06-16,2048-06-15,45.050000000000004
3204,Grouped Projects For Laos Water Purifier,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Registered,Lao,"65,928",Asia,2024-02-19,2023-07-25,2033-07-24,72.55000000000001
3205,Installation of high efficiency wood burning cookstoves in Uganda 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Registered,Uganda,"1,320,579",Africa,2023-06-14,2022-07-01,2032-06-30,68.15
3206,Installation of high efficiency wood burning cookstoves in Kenya 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Registered,Kenya,"2,075,549",Africa,2023-06-14,2022-05-01,2032-04-30,68.15
3207,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S. Project #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Registered,United States,"32,027",North America,2023-03-20,2018-11-06,2025-11-05,59.25
3208,Wheatbelt Biodiversity Carbon Credit Project,Decarbonology Pty Ltd,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Australia,"2,205",Oceania,2024-06-03,2022-07-27,2047-07-26,49.85
3209,Installation of high efficiency wood burning cookstoves in Tanzania 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Registered,Tanzania,"1,634,456",Africa,2023-06-14,2023-06-01,2033-05-31,68.15
3210,Bajo Atrato REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,"668,184",Latin America,,2019-10-17,2049-10-16,53.45
3211,BISIGNANO AND MESORACA PROJECT OF AFFORESTATION OF THE AGRICULTURAL COMPANY GAIA SRL BAMBOO PLANTS,GAIA s.r.l. Societa Agricola,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Italy,"48,643",Europe,,2022-04-07,2064-04-06,45.550000000000004
3212,Jiangxi Fuzhou Yihuang Rice Field Water Management Project,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"38,503",Asia,,2018-04-01,2028-03-31,61.25000000000001
3213,Indigo Ag EU Project No.1,INDIGO CARBON PBC,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Switzerland,"4,021,000",Europe,,2019-11-01,2039-10-31,64.45
3214,CAGLAYANLAR BIOGAS PLANT,Çağlayanlar Biyogaz Elektrik Üretim Sanayi ve Ticaret Limited Şirketi,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AM0073,Registered,Turkey,"615,151",Middle East,2023-12-04,2020-10-16,2027-10-15,64.95
3215,ASATIQ Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,"943,225",Latin America,,2019-11-08,2049-11-07,53.45
3216,ASATRIZY Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,"355,612",Latin America,,2019-05-30,2049-05-29,51.95
3218,Origen Atrato-Baudó REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,"343,528",Latin America,,2019-12-13,2049-12-12,51.95
3220,Mbakaou Carriere Small Hydro Power Plant,IED Invest Cameroun,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registered,Cameroon,"13,349",Africa,2023-06-13,2022-01-05,2029-01-04,59.65
3221,Hesse & Sons Dairy Vermifiltration,"3Degrees Group, Inc","Livestock, enteric fermentation, and manure management",,AMS-III.Y,Under development,United States,"10,000",North America,,2022-09-01,2029-08-31,67.15
3222,MARDIN LFG POWER PLANT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,"95,867",Europe,2023-08-03,2020-10-28,2027-10-27,61.95
