ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Colombia,"20,581",Latin America,,2018-07-01,2048-06-30,38.45
3565,Core Farming in Jharkhand,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,"289,256",Asia,,2018-09-10,2058-09-09,52.150000000000006
3566,Livelihood improvement by agroforestry plantation in India,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval request denied,India,"6,420",Asia,,2018-06-11,2048-06-10,42.650000000000006
3568,CORE CARBON SERICULTURE PLANTATION IN ODISHA STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,"104,844",Asia,,2018-06-20,2038-06-19,47.75000000000001
3569,AAC Block Project by Parthcrete Green Concrete Solutions LLP,Parthcrete Green Concrete Solutions LLP,Manufacturing industries,,AMS-III.Z,Under development,India,"16,869",Asia,,2021-09-27,2028-09-26,67.35000000000001
3570,Bamboo plantations by farmers and community in the country,Infinite Environmental Solutions LLP,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,India,"61,126",Asia,,2019-07-09,2049-07-08,45.650000000000006
3572,GROUPED AGROFORESTRY PROJECT IN VARIOUS STATES OF INDIA,Infinite Solutions,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,India,"163,886",Asia,,2019-07-01,2049-06-30,47.150000000000006
3573,"Rooftop Solar Project by Earth Carbon Foundation in Gujarat, India",Earth Carbon Foundation.,Energy industries (renewable/non-renewable sources),,ACM0002,Inactive,India,"45,770",Asia,,2020-09-01,2027-08-31,72.05000000000001
3574,Grouped plantation activity in various states of India,Infinite Environmental Solutions Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,India,"34,146",Asia,,2018-04-01,2048-03-31,44.150000000000006
3575,Kokolopori Bonobo Peace Forest Grouped REDD Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,"Congo, The Democratic Republic of The","1,047,213",Africa,,2021-02-26,2031-02-25,49.45
