ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
4118,Ground-Truth Australian Orchards,Carbon Friendly Pty Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration requested,Australia,"850,073",Oceania,,2020-02-01,2040-01-31,62.95
4120,Qinghai Haixi Ulan Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"23,636",Asia,,2020-05-18,2060-05-17,41.550000000000004
4122,Siziwang Banner Improved Grassland Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0026,Withdrawn,China,"1,352,291",Asia,,2020-05-01,2060-04-30,52.550000000000004
4123,1MTN Uganda Bamboo Planting Project,1MTN Nation UG OU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Uganda,"88,110",Africa,,2023-04-01,2063-03-31,53.25
4124,BUYUKSISMANLAR BIOGAS ENERGY PLANT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registration requested,Turkey,"42,289",Middle East,,2021-09-18,2028-09-17,75.45
4125,AS KOC KIRSEHIR BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,"390,068",Middle East,,2021-06-17,2028-06-16,57.65
4126,Community Restoration of Native Ecosystems in Ghana,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,92,Africa,2024-06-25,2023-01-31,2063-01-30,46.75
4127,Household Appliance Distribution in Lao PDR-CPA-003,C-Quest Capital Stoves Asia Limited,Energy demand,,VMR0006,Registered,Lao,"201,394",Asia,2024-06-07,2018-10-23,2028-10-22,65.55
4128,ECOPARQUE MACEIÓ LANDFILL GAS PROJECT,ORIZON Valorização de Resíduos S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Inactive,Brazil,"321,801",Latin America,,2023-07-01,2030-06-30,55.85
4129,Project Sathya Improved Cookstoves and Livelihood,Carbon Impact Capital,Energy demand,,VMR0006,Withdrawn,India,"22,208",Asia,,2023-03-30,2033-03-29,55.550000000000004
4130,GIRESUN LANDFILL GAS (LFG) PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,"64,635",Middle East,2025-07-04,2021-04-02,2028-04-01,62.95
4131,Future Carbon Methane Capture Grouped Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Under validation,Brazil,"13,298",Latin America,,2023-03-01,2030-02-28,76.85000000000001
4136,Wetlands Along the Yangtze River and Dongting Lake Restoration Project in Junshan,Multiple Proponents,Agriculture Forestry and Other Land Use,WRC,VM0036,Under development,China,"9,774",Asia,,2020-03-09,2070-03-08,48.050000000000004
4137,Productive Second Floor with Macaúba,INOCAS,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,Brazil,"5,212",Latin America,2025-06-25,2021-11-03,2061-11-02,49.45
4138,BRUSQUE LANDFILL GAS PROJECT,RECICLE CATARINENSE DE RESÍDUOS LTDA.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,"123,555",Latin America,2023-12-07,2022-07-11,2029-07-10,62.85
4139,Grouped Hydro Power Project by EKI Energy Services Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Nepal,"21,741",Asia,2024-09-26,2021-09-17,2028-09-16,81.05000000000001
4141,Itamarati Grouped REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Brazil,"42,151",Latin America,,2022-04-25,2052-04-24,39.45
4142,Serenity Valley REDD Project,Biofilica Ambipar Environmental Investments S.A,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,"251,636",Latin America,,2020-05-25,2050-05-24,45.45
4143,Urupianga Grouped REDD Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Brazil,"88,272",Latin America,2025-05-26,2021-01-26,2051-01-25,49.95
4144,CHITETEZO MBAULA PROJECT – MALAWI,CO2Logic SA,Energy demand,,VMR0006,Registered,Malawi,"152,358",Africa,2024-10-23,2021-08-01,2028-07-31,65.85
4145,BLACK SOLDIER FLY COMMERCIAL FARMING PROJECT,Chanzi,Waste handling and disposal,,AMS-III.F.,Registered,Tanzania,"5,245",Africa,2025-03-11,2021-09-01,2028-08-31,73.35000000000001
4146,Yangbai Adjusted Water Management in Rice Cultivation,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,896",Asia,,2020-02-07,2030-02-06,62.75000000000001
4147,Adjusted Water Management in Rice Cultivation in the South of Suixi,"Xuwen Xinpenggang Building Materials Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,893",Asia,,2020-03-05,2030-03-04,62.75000000000001
4148,Strengthening rural livelihood through carbon finance: Agroforestry practices in Lucknow Forest Circle of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration requested,India,121,Asia,,2020-03-28,2060-03-27,41.150000000000006
4149,The High Impact Soil Carbon Program of Lithuania,UAB Heavy Finance,Agriculture Forestry and Other Land Use,ALM,VM0042,Rejected by Administrator,Lithuania,"33,975",Europe,,2019-08-01,2039-07-31,54.050000000000004
4150,DelAgua Clean Cooking Grouped Project in Rwanda,Multiple Proponents,Energy demand,,VMR0006,Requantification Requested,Rwanda,"2,243,669",Africa,2024-02-15,2021-10-11,2028-10-10,63.849999999999994
4151,BioLite Africa Improved Stove Program,BioLite,Energy demand,,VMR0006,Registered,Rwanda,"265,156",Africa,2024-06-12,2022-06-01,2029-05-31,64.85
4153,"Sustainable coffee landscapes in indigenous rural communities of Oaxaca, Mexico",Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Mexico,"45,346",Latin America,,2021-07-21,2041-07-20,46.150000000000006
4155,Bamboo Afforestation in Malawi,C-Quest Capital SG Africa Holdings Private Limited,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Withdrawn,Malawi,"174,301",Africa,,2019-12-08,2039-12-07,49.35
4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,Bridge Carbon Africa Stoves Development Private Limited,Energy demand,,VMR0006,Withdrawn,Tanzania,"285,339",Africa,2023-07-26,2021-08-05,2031-08-04,58.15
4158,Installation of high efficiency wood burning cookstoves in Chad,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Withdrawn,Chad,"2,075,549",Africa,,2023-06-01,2033-05-31,61.15
4159,Installation of high efficiency wood burning cookstoves in Côte d'Ivoire,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Withdrawn,Cote D'Ivoire,"1,545,621",Africa,,2023-06-01,2033-05-31,61.15
4160,Installation of high efficiency wood burning cookstoves in Togo,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Withdrawn,Togo,"1,920,986",Africa,,2023-06-01,2033-05-31,61.15
4161,Installation of high efficiency wood burning cookstoves in Ghana,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Withdrawn,Ghana,"1,126,602",Africa,2024-02-14,2023-09-27,2033-09-26,61.15
