ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
942,ROCHELLE LANDFILL METHANE RECOVERY AND DESTRUCTION PROJECT,"William Charles Energy, LLC",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Withdrawn,United States,"100,000",North America,,2021-02-09,2031-02-08,55.75000000000001
943,Rio Negro Ceramic  Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,"11,256",Latin America,2020-04-06,2019-03-01,2029-02-28,63.150000000000006
944,Alto Mayo Conservation Initiative,Conservation International Foundation,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Peru,"515,268",Latin America,2020-04-06,2008-06-15,2028-06-14,50.550000000000004
945,Chongqing Youyang County Youchou Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"334,000",Asia,2020-04-06,,,77.14999999999999
946,Shoosmith Sanitary Landfill Gas Combustion Project,Shoosmith Brothers Inc,Waste handling and disposal,,ACM0001,Late to verify,United States,"50,000",North America,2020-04-06,,,54.85
947,Spartanburg County Landfill Gas Combustion Project,Multiple Proponents,Waste handling and disposal,,ACM0001,Registered,United States,"75,977",North America,2020-04-06,2020-06-15,2030-06-14,59.45
948,CEMEX USA: ALTERNATIVE FUELS AND BIOMASS PROJECT AT LOUISVILLE CEMENT PLANT,Kosmos Cement Company,Manufacturing industries,,ACM0003,Late to verify,United States,"294,605",North America,2020-04-06,,,55.95
949,Guodian Linghai Qingsong Wind Farm Project,"Guodian Linghai Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"115,069",Asia,2020-04-06,,,77.14999999999999
950,Liaoning Linghai Nanxiaoliu Wind Farm Project,"Guodian Linghai Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"122,764",Asia,2020-04-06,,,77.14999999999999
951,Liaoning Linghai Shengli Wind Farm Project,"Guodian Linghai Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"116,862",Asia,2020-04-06,,,77.14999999999999
952,Liaoning Xingcheng Liutaizi Wind Farm Project,"Guodian Xingcheng Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"117,731",Asia,2020-04-06,,,77.14999999999999
953,The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,Swire Pacific Offshore Operations (Pte) Ltd. (SPO),Agriculture Forestry and Other Land Use,REDD,VM0007,Late to verify,Paraguay,"12,784",Latin America,2020-04-06,2011-02-25,2031-02-24,34.550000000000004
954,Kepezkaya Hydroelectric Power Plant Project,ENTEK ELEKTRIK URETIMI ANONIM SIRKETI,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"61,443",Middle East,2020-04-06,,,79.64999999999999
955,Bundled Wind Energy Project in Indian States:- EnKing International 2006.,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"14,345",Asia,2013-01-11,,,70.75
956,"Anaerobic digestion at Animalia Genetics Ltd., Cyprus",Animalia Genetics Ltd.,"Livestock, enteric fermentation, and manure management",,AMS-III.D.,Late to verify,Cyprus,"6,390",Europe,2013-01-10,,,62.25
957,"Wind energy project by Hindustan Spinners in Tamilnadu, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"18,311",Asia,2020-04-06,2016-03-28,2026-03-27,74.35000000000001
958,BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Peru,"219,722",Latin America,2020-04-06,2010-01-01,2049-12-31,48.45
