ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,our score
1410,"Solar PV power project at Patan,India",Alex Astral Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration and verification approval requested,India,"39,532",Asia,,,,72.25
1411,"Solar PV power project at Bikaner,India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"8,310",Asia,,2022-02-21,2032-02-20,74.85000000000001
1412,Alakopru Hydro Power Plant,ENERSE Enerji Elektrik Ure. Ins. Mad. San. ve Tic.,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Turkey,"51,102",Middle East,,2017-12-31,2027-12-30,77.25
1413,Grid Interactive Solar Photovoltaic Power Project in Gujarat,Samta Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"41,034",Asia,2015-08-03,,,76.25
1414,Sustainable Climate-Friendly Coffee (CO2 Coffee),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AM0007,Late to verify,Mexico,"4,337",Latin America,2020-04-06,2013-06-13,2043-06-12,48.050000000000004
1415,Rochester Institute of Technology Campus Wide Clean Energy and Energy Efficiency Project,Rochester Institute of Technology,Energy industries (renewable/non-renewable sources),,VM0025,Late to verify,United States,"2,500",North America,2015-05-08,,,51.150000000000006
1416,Umurlu GeoThermal Power Plant,KARYEK KARADENIZ ELEKTRIK URETIM A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"95,422",Middle East,2020-04-06,2015-12-25,2025-12-24,80.25
1417,"Aura Solar I Solar Project in Baja California Sur, Mexico",Servicios Comerciales de Energia S.A. de C.V.,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,Mexico,"36,676",North America,2015-07-28,,,72.64999999999999
1418,Renewable Energy Project by LNB Group,LNB Renewable Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"29,669",Asia,2020-04-06,2023-03-31,2033-03-30,78.35000000000001
1419,Wind Power Project by Rajasthan Gum Private Limited (EKI.CDM.July-11-01),Rajasthan Gum Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,"20,357",Asia,2020-04-06,2021-09-24,2031-09-23,78.35000000000001
1420,Chamelecón 280 Hydroelectric project,Generacion de Energia Renovable S.A.(GERSA),Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Honduras,"32,208",Latin America,2020-04-06,,,73.55
1421,"Biomass Based Cogeneration Project By M/s SNS Starch Limited at Telengana, India",SNS Starch Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,India,"67,778",Asia,,,,54.75000000000001
1422,4.5MW Wind Power Project by Hira Group,Hira Steels Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,India,"8,802",Asia,,,,70.75
1423,"Teesta Low Dam Project, Stage-IV",NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"696,816",Asia,2016-03-17,2016-02-14,2026-02-13,81.35000000000001
1424,Uri II Hydroelectric Project,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"1,048,427",Asia,2016-03-17,,,82.25
1425,Parbati Hydroelectric Project Stage III,NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,"708,572",Asia,2016-03-17,,,80.75
1426,Parbati Hydroelectric Project (Stage-II),NHPC Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,"2,977,872",Asia,2016-03-17,2019-03-01,2029-02-28,78.85000000000001
1427,Adiguzel II Hydroelectric Power Plant,Peker Enerji A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"44,741",Middle East,2015-04-15,,,76.64999999999999
1429,Recovery of degraded areas with agroforestry systems in Colombia,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Late to verify,Colombia,746,Latin America,2015-11-04,2012-01-16,2112-01-15,39.45
1430,"Renewable Solar Project, India",Kanaka Management Services Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"62,763",Asia,,,,73.75
1431,"Biomass Based Co-generation project by DRRK Foods, India",DRRK Foods Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,India,"44,824",Asia,,,,53.25000000000001
1432,"Biomass Briquette Usage in Steam Boiler at GIDC, Jhagadia Project",Birla Century,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Verification approval requested,India,"34,013",Asia,,,,52.25000000000001
1433,"LinCang Yun County, XinTangFang Hydropower Station Project","LinCang Yun Tou Yue Dian Hydropower Development Co.,Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,"35,166",Asia,2014-12-20,,,72.64999999999999
1434,Forestry Project “More Forests for Medellin”,Secretaría del Medio Ambiente del Municipio de Medellín,Agriculture Forestry and Other Land Use,,AR-ACM0003,Withdrawn,Colombia,"1,781",,2020-04-06,,,40.050000000000004
1435,Yunnan Leiyingshan Wind Power Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,China,"88,679",Asia,,,,74.14999999999999
1436,SOU/UIC LEED Buildings Clean Energy Efficiency Group Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,VM0025,Late to verify,United States,"1,004",North America,2020-04-06,,,52.650000000000006
1437,"Alaçati Wind Power Project, Turkey",Egenda Ege Enerji Uretim A.S,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"29,062",Middle East,2020-04-06,2016-06-03,2026-06-02,78.75
1438,"Germiyan Wind Power Project, Turkey",Egenda Ege Enerji Uretim A.S,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"21,039",Middle East,2020-04-06,2016-05-06,2026-05-05,78.75
1439,"Urla Wind Power Project, Turkey",Egenda Ege Enerji Uretim A.S,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,"26,680",Middle East,2020-04-06,2016-05-27,2026-05-26,78.75
1440,"Landfill Gas to Energy Facility at the Nejapa Landfill Site, El Salvador",Credits transferred from approved GHG program,Waste handling and disposal,,ACM0001,Late to verify,El Salvador,"183,725",,2020-04-06,,,55.75
1441,"Bundled clean energy project in jamnagar, Gujarat",Vish Wind Infrastructure LLP,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Verification approval requested,India,"25,641",Asia,2020-04-06,,,73.75
1442,"Grid connected clean energy project in Jamnagar, Gujarat",Vish Wind Infrastructure LLP,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,"12,371",Asia,2015-06-26,,,72.25
1443,"East African Afforestation, Reforestation and Revegetation Program",Horn of Africa Regional Environment Center and Network (HoA-REC&N),Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Ethiopia,"17,665",Africa,,2015-07-15,2045-07-14,42.25
